epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,568.404,1.72573,1.89003,1.43814,0.45093,0.36757,0.34875,0.15207,2.09456,1.88724,1.67977,0.0706667,0.00325926,0.00325926
2,1187.98,1.4917,1.2565,1.28491,0.51581,0.3865,0.36939,0.16538,2.1066,1.93949,1.6888,0.0403403,0.00626626,0.00626626
3,1776.37,1.52503,1.22687,1.27869,0.48475,0.39358,0.36253,0.15209,2.13051,1.95817,1.7306,0.009684,0.00894326,0.00894326
4,2341.31,1.52597,1.16857,1.25736,0.57733,0.33523,0.34636,0.14913,2.10554,1.93265,1.66249,0.008515,0.008515,0.008515
5,2910.05,1.51744,1.08867,1.25681,0.58824,0.35215,0.36309,0.15558,2.17887,2.05741,1.78639,0.00802,0.00802,0.00802
6,3475.92,1.51582,1.04159,1.26909,0.56316,0.38029,0.37087,0.15825,2.21245,1.88707,1.77897,0.007525,0.007525,0.007525
7,4041.38,1.46571,0.97892,1.23858,0.50172,0.38499,0.36385,0.15395,2.12322,1.85247,1.73466,0.00703,0.00703,0.00703
8,4607.29,1.4801,0.98898,1.24142,0.53637,0.38533,0.36443,0.16007,2.15336,1.85442,1.77062,0.006535,0.006535,0.006535
9,5171.39,1.49192,0.98637,1.24931,0.553,0.38042,0.36633,0.1611,2.16777,1.90526,1.79871,0.00604,0.00604,0.00604
10,5735.66,1.47752,0.96377,1.24102,0.58722,0.36427,0.37764,0.16961,2.12723,1.79916,1.75913,0.005545,0.005545,0.005545
11,6292.73,1.41658,0.87457,1.22722,0.51549,0.36746,0.3465,0.15324,2.16378,1.98901,1.79452,0.00505,0.00505,0.00505
12,6852.25,1.38453,0.83098,1.22001,0.57084,0.37646,0.37305,0.16077,2.14634,1.83805,1.76387,0.004555,0.004555,0.004555
13,7412.48,1.37748,0.80572,1.21391,0.50784,0.38382,0.35932,0.15468,2.17648,1.96252,1.81266,0.00406,0.00406,0.00406
14,7973.19,1.34789,0.77147,1.21161,0.53808,0.3961,0.37188,0.16318,2.16312,1.89852,1.78779,0.003565,0.003565,0.003565
15,8629.87,1.33389,0.77154,1.19793,0.50887,0.39687,0.36641,0.16174,2.14542,1.88597,1.75857,0.00307,0.00307,0.00307
16,9285.03,1.30772,0.72949,1.18795,0.4877,0.38154,0.35883,0.16237,2.16636,1.99934,1.77717,0.002575,0.002575,0.002575
17,9864.9,1.29076,0.72515,1.16805,0.54896,0.37071,0.36503,0.16507,2.16433,1.9854,1.79154,0.00208,0.00208,0.00208
18,10453.5,1.26704,0.69358,1.15916,0.54353,0.37932,0.36286,0.16453,2.1654,2.07192,1.80443,0.001585,0.001585,0.001585
19,11030.2,1.26327,0.67825,1.15583,0.53553,0.37144,0.36696,0.16843,2.15302,1.99845,1.78024,0.00109,0.00109,0.00109
20,11623,1.24134,0.67212,1.15645,0.54657,0.37696,0.36754,0.16845,2.15889,1.98573,1.7874,0.000595,0.000595,0.000595
